projectid,gender,purchasing_reason,decide_purchase_reason,not_book_reason,other_projects_before_deicde,condo_payment,day_off_activity,most_interested_activites_participation,room_size_wanted,purchase_budget,residences_count,would_recommend,information_source,saw_sign,car_type,decision_time_frame,family_monthly_income,individual_monthly_income_baht,exercise_preference,condo_living_style,car_brand,purchase_intent,travel_route_today,marital_status,occupation,age,Project Brand,Project Type,Starting Price,Location,hour_sin,hour_cos,day,month,quarter,year,week,day_of_week,is_weekend,day_of_year,season
21,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,40-50 ตร.ม.,3.01 - 3.5M,Missing,Missing,unknown,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,Missing,"40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,OTHER,LOW RISE,1250000,บางเขน,-0.4999999999999997,-0.8660254037844388,1,2,1,2020,5,5,1,32,1
10,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,23-25 ตร.ม.,1.01 - 1.5M,Missing,Missing,Google Search,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,Missing,1 - 3 เดือน,Missing,"15,001 - 20,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,WYNN,LOW RISE,1490000,ลาดพร้าว,-1.0,-1.8369701987210297e-16,12,4,2,2020,15,6,1,103,2
9,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,ดูหนัง,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,1 - 3 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2000000,ลาดพร้าว,-0.7071067811865471,-0.7071067811865479,15,5,2,2020,20,4,0,136,2
13,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,อื่นๆ โปรดระบุ,unknown,unknown,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,unknown,Missing,1 - 3 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2790000,บางเขน,-1.0,-1.8369701987210297e-16,24,6,2,2020,26,2,0,176,3
12,ชาย,สภาพแวดล้อมที่ดีขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,ดูหนัง,unknown,26-29 ตร.ม.,3.01 - 3.5M,Missing,Missing,Website โครงการ,unknown,Missing,4 - 6 เดือน,"50,001 - 65,000","50,001 - 65,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,รับราชการ ประเภท,25-35 ปี,MODIZ,HIGH RISE,1790000,พหลโยธิน,-0.9659258262890683,-0.25881904510252063,27,6,2,2020,26,5,1,179,3
31,หญิง,ซื้อเก็บเป็นทรัพย์สิน,ทำเล,อื่นๆ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,ป้าย Fence หน้าโครงการ,ป้าย Fence หน้าโครงการ,ไม่มีรถ,มากกว่า 1 ปี,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2690000,รามคำแหง,-0.7071067811865471,-0.7071067811865479,28,6,2,2020,26,6,1,180,3
15,unknown,unknown,unknown,unknown,unknown,ขอสินเชื่อ,unknown,unknown,Missing,Missing,หลังที่ 1,Missing,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,OTHER,LOW RISE,2700000,พหลโยธิน,-0.7071067811865471,-0.7071067811865479,6,9,3,2020,36,6,1,250,4
45,หญิง,ลงทุน/ปล่อยเช่า,unknown,อื่นๆ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,23-25 ตร.ม.,2.01 - 2.5M,หลังที่ 2,Missing,unknown,Other,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,นิสสัน (Nissan),unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2510000,รังสิต,0.7071067811865476,-0.7071067811865475,9,9,3,2020,37,2,0,253,4
29,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,รอพาคนตัดสินใจมาดู,ไม่ได้เปรียบเทียบ,unknown,ท่องเที่ยว,unknown,30-34 ตร.ม.,4.01 - 4.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ ข้าง/หน้า สำนักงานขาย,ไม่มีรถ,4 - 6 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,MODIZ,HIGH RISE,3590000,บางโพ,-0.9659258262890683,-0.25881904510252063,20,9,3,2020,38,6,1,264,4
6,หญิง,unknown,unknown,รอพาคนตัดสินใจมาดู,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,unknown,Other,ไม่มีรถ,ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ไม่มีรถ,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2990000,ลาดพร้าว,-0.8660254037844385,-0.5000000000000004,11,11,4,2020,46,2,0,316,4
